aback,4317610
abase,4953438
abate,4966852
abbey,4805162
abbot,4749832
abhor,4978334
abide,5040476
abled,5010792
abode,5044310
abort,5069570
about,4972568
above,4967884
abuse,5062326
abyss,4595028
acorn,5083146
acrid,5032088
actor,5107776
acute,5121958
adage,4856712
adapt,4751702
adept,5048148
admin,4854094
admit,4938904
adobe,5042780
adopt,4994570
adore,5153090
adorn,5058278
adult,5014046
affix,4180816
afire,5129564
afoot,4769132
afoul,4944116
after,5104558
again,4752834
agape,4855956
agate,4980652
agent,5075742
agile,5113664
aging,4655904
aglow,4833000
agony,4908826
agora,4853586
agree,5014448
ahead,4852334
aider,5141904
aisle,5182848
alarm,4872768
album,4771042
alert,5193474
algae,4939796
alibi,4727672
alien,5165698
align,4980030
alike,5103280
alive,5078754
allay,4426608
alley,4967632
allot,4958676
allow,4701120
alloy,4830120
aloft,5027464
alone,5180592
along,5000412
aloof,4745012
aloud,5008700
alpha,4664118
altar,5021056
alter,5197194
amass,4359320
amaze,4678212
amber,5023074
amble,5005264
amend,4999706
amiss,4775780
amity,4966600
among,4851118
ample,5035398
amply,4780714
amuse,5068142
angel,5081860
anger,5099980
angle,5089522
angry,4958102
angst,4999732
anime,5100218
ankle,5073032
annex,4749512
annoy,4773930
annul,4815094
anode,5116624
antic,5022210
anvil,4910414
aorta,5006832
apart,4917874
aphid,4851066
aping,4864356
apnea,4926010
apple,4934630
apply,4609698
apron,5056316
aptly,4966568
arbor,4843548
ardor,4893790
arena,5052156
argue,5106046
arise,5211700
armor,4867434
aroma,4870110
arose,5206386
array,4655450
arrow,4807612
arson,5134776
artsy,5118420
ascot,5062074
ashen,5101412
aside,5125968
askew,4922892
assay,4429166
asset,5025196
atoll,4955946
atone,5176434
attic,4828412
audio,4933930
audit,4999400
augur,4763696
aunty,4994122
avail,4720844
avert,5083692
avian,4668232
avoid,4852310
await,4806212
awake,4738638
award,4677530
aware,4965718
awash,4581966
awful,4720164
awoke,4985380
axial,4643420
axiom,4767512
axion,4863576
azure,5043380
bacon,4942766
badge,4948994
badly,4796438
bagel,5019344
baggy,4352272
baker,5022288
baler,5123366
balmy,4742074
banal,4741612
banjo,4729062
barge,5067002
baron,5054534
basal,4760518
basic,4977012
basil,5028426
basin,5005712
basis,4788452
baste,5116938
batch,4848452
bathe,5064926
baton,5015380
batty,4659684
bawdy,4569798
bayou,4888062
beach,4973298
beady,4952728
beard,5058944
beast,5109402
beech,4605502
beefy,4481352
befit,4912816
began,4956572
begat,5017454
beget,4765304
begin,4875354
begun,4785840
being,4883128
belch,4887330
belie,4903394
