roate,5219342.0
raise,5218008.0
raile,5217244.0
soare,5214998.0
arise,5211700.0
irate,5211576.0
orate,5211318.0
ariel,5208084.0
arose,5206386.0
raine,5203990.0
artel,5202972.0
taler,5202414.0
ratel,5197538.0
aesir,5197446.0
arles,5197428.0
realo,5197296.0
alter,5197194.0
saner,5196884.0
later,5196658.0
snare,5194634.0
oater,5194292.0
salet,5194230.0
taser,5194220.0
stare,5194178.0
tares,5193602.0
slate,5193534.0
alert,5193474.0
reais,5193446.0
lares,5193136.0
reast,5193088.0
strae,5192902.0
laser,5192262.0
saine,5191174.0
rales,5190688.0
urate,5190624.0
crate,5190462.0
serai,5190412.0
toile,5190134.0
seral,5190048.0
rates,5189472.0
carte,5189036.0
antre,5188046.0
slane,5187948.0
trace,5187868.0
coate,5186742.0
carle,5186340.0
carse,5185988.0
stoae,5185840.0
reals,5185740.0
terai,5185270.0
aeros,5185132.0
liane,5184966.0
tears,5184564.0
caret,5184212.0
stale,5184202.0
alure,5184032.0
slier,5183402.0
resat,5183212.0
sorel,5183090.0
tales,5182912.0
nares,5182900.0
aisle,5182848.0
litre,5182538.0
saice,5182086.0
learn,5181802.0
earnt,5181514.0
oriel,5181506.0
earst,5181406.0
lears,5181366.0
paire,5181270.0
reoil,5180948.0
alone,5180592.0
teras,5180488.0
urase,5180436.0
leant,5180368.0
aloes,5180146.0
torse,5178758.0
aster,5178458.0
arets,5178284.0
least,5178216.0
soler,5178064.0
reans,5177978.0
retia,5177386.0
laten,5177316.0
siler,5177108.0
anole,5177078.0
crane,5176938.0
trone,5176754.0
laers,5176626.0
earls,5176506.0
stear,5176456.0
atone,5176434.0
ayrie,5176368.0
trail,5175304.0
stane,5174588.0
react,5174418.0
haole,5174142.0
teals,5174092.0
maire,5174082.0
toise,5173858.0
tiler,5173304.0
nears,5172674.0
neral,5172652.0
aline,5172598.0
scare,5172450.0
ursae,5172156.0
cater,5172126.0
trade,5171868.0
scrae,5171768.0
renal,5171344.0
sayer,5171212.0
store,5171202.0
liart,5171126.0
stire,5170946.0
sared,5170764.0
uraei,5170732.0
prate,5170552.0
oaten,5170460.0
tries,5170428.0
ronte,5170172.0
cares,5169850.0
trine,5169652.0
rayle,5169436.0
lanes,5168988.0
anile,5168928.0
rance,5168780.0
setal,5168520.0
roset,5168394.0
earns,5168240.0
arsey,5168148.0
parle,5168078.0
relit,5168058.0
snore,5168000.0
leats,5167968.0
trape,5167844.0
solar,5167466.0
anise,5167284.0
trial,5167214.0
reist,5167082.0
loser,5166700.0
orles,5166606.0
lores,5166528.0
tolar,5166442.0
roast,5166256.0
liter,5165952.0
alien,5165698.0
irone,5165684.0
aures,5165586.0
roles,5165412.0
lacet,5165410.0
teary,5165308.0
rayne,5165284.0
oiler,5164628.0
senor,5164460.0
nacre,5164238.0
siren,5164076.0
saute,5163984.0
salue,5163976.0
tires,5163872.0
riles,5163658.0
telia,5163538.0
stole,5163534.0
serac,5163424.0
grate,5163420.0
rathe,5162954.0
taels,5162946.0
nates,5162922.0
haler,5162678.0
tores,5162660.0
toeas,5162496.0
rinse,5162424.0
tared,5162318.0
races,5162260.0
tesla,5162098.0
roule,5162068.0
porae,5161822.0
deair,5161666.0
aeons,5161648.0
orals,5161572.0
caste,5161506.0
irade,5161456.0
share,5161358.0
leirs,5161282.0
sarge,5161256.0
lacer,5161162.0
ariot,5160862.0
sitar,5160640.0
orant,5160496.0
soral,5160454.0
solei,5160380.0
leans,5160172.0
slart,5160146.0
larnt,5160058.0
trice,5160018.0
crise,5160012.0
serin,5159868.0
loure,5159852.0
ramie,5159744.0
arils,5159632.0
toles,5159586.0
urite,5159222.0
marle,5159134.0
rotes,5159062.0
peart,5158554.0
tenor,5158388.0
ureal,5158370.0
targe,5158364.0
nitre,5158230.0
canoe,5158208.0
resit,5157802.0
parse,5157790.0
aiery,5157738.0
thrae,5157682.0
route,5157586.0
caner,5157542.0
neals,5157428.0
stair,5157254.0
dares,5156950.0
scale,5156828.0
areic,5156780.0
tinea,5156036.0
toner,5156010.0
rites,5155980.0
rails,5155978.0
layer,5155904.0
seron,5155842.0
sonar,5155822.0
hater,5155614.0
thale,5155508.0
hares,5155408.0
aurei,5155210.0
lairs,5155170.0
marse,5155054.0
dater,5155024.0
clear,5154860.0
acres,5154818.0
ceria,5154666.0
neats,5154582.0
riels,5154368.0
sarin,5154326.0
glare,5154234.0
nerol,5154174.0
sated,5154026.0
sager,5154022.0
arsed,5154020.0
rated,5153968.0
ayres,5153966.0
rased,5153830.0
rotal,5153780.0
train,5153724.0
prase,5153452.0
osier,5153426.0
rials,5153372.0
riant,5153370.0
lotes,5153302.0
leary,5153242.0
corse,5153226.0
antes,5153212.0
adore,5153090.0
loner,5153082.0
heart,5152860.0
raits,5152558.0
laris,5152550.0
plate,5152516.0
stile,5152456.0
derat,5152338.0
taper,5152224.0
liers,5152204.0
potae,5152096.0
clote,5152064.0
pareo,5151960.0
cates,5151644.0
slade,5151578.0
taros,5151522.0
pater,5151502.0
argle,5151312.0
taces,5151228.0
sayne,5151024.0
claes,5150986.0
maise,5150842.0
aired,5150818.0
oared,5150744.0
palet,5150592.0
rimae,5150591.999899214
armet,5150490.0
large,5150484.0
arled,5150348.0
paise,5150112.0
rouse,5150106.0
isnae,5149848.0
triol,5149696.0
morae,5149690.0
liars,5149596.0
resto,5149576.0
ureas,5149575.999917505
sabre,5149426.0
ourie,5149390.0
loast,5149234.0
ramet,5149208.0
terns,5149206.0
lyase,5149038.0
paler,5148984.0
lance,5148790.0
halse,5148772.0
shale,5148660.0
tiars,5148508.0
pearl,5148310.0
recta,5148298.0
noise,5148198.0
maile,5147978.0
dealt,5147778.0
lathe,5147642.0
teloi,5147510.0
score,5147454.0
louie,5147416.0
spare,5147304.0
noter,5146890.0
years,5146858.0
tased,5146608.0
ceorl,5146384.0
gater,5146306.0
yearn,5146254.0
ratio,5146236.0
rones,5146154.0
ratos,5146142.0
tiles,5146070.0
trans,5145978.0
eorls,5145928.0
tarsi,5145838.0
liras,5145696.0
toras,5145494.0
recal,5145372.0
liner,5145142.0
prole,5144746.0
segar,5144692.0
cries,5144540.0
shear,5144520.0
lader,5144500.0
risen,5144494.0
tuile,5144462.0
steal,5144254.0
roans,5144226.0
paren,5144130.0
tiers,5144120.0
telos,5144016.0
toran,5143880.0
tenia,5143874.0
gares,5143766.0
tamer,5143528.0
elain,5143264.0
petar,5143238.0
frate,5143126.0
stade,5142984.0
aruhe,5142952.0
socle,5142906.0
resay,5142874.0
noser,5142738.0
spaer,5142737.999908801
laces,5142714.0
brane,5142672.0
pares,5142502.0
rines,5142464.0
saned,5142424.0
teils,5142346.0
stela,5142206.0
dears,5142054.0
